Tissue.num,Species,Tissue.type,Country,State,Population,Preparator.num,Voucher.num,Sex,Song Type,Latitude,Longitude,plate
B03556,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03557,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03558,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03559,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03560,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03561,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
B03562,PALUSTRIS,BL,UNITED STATES,WASHINGTON,,,,M,WESTERN,48.32331,-122.369327,2
25369,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.438,-98.166,2
25370,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.438,-98.166,2
25372,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2
25371,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2
25373,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2
25374,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2
25375,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.115,-98.57,2
25376,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.114,-98.568,2
25377,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,f,unclear,42.114,-98.568,2
25378,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,unclear,42.114,-98.568,2
25379,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2
25380,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2
25381,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2
25382,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2
25383,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.601,-100.556,2
31446,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.103,-98.568,2
31897,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.103,-98.56,2
31445,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.103,-98.56,1
31898,PALUSTRIS,tissue,UNITED STATES,NEBRASKA,NEBRASKA,,,m,WESTERN,42.103,-98.56,1
